url,server_jsonld,js_jsonld,has_product,has_offer,identifiers,ident_gtin,ident_brand_mpn,policies,policy_structured,policy_link,policy_structured_on_policy_page,specs_units,productgroup,product_score,family_score,has_rating,rating_value,rating_count,rating_value_fallback,rating_count_fallback,rating_source_fallback,error
https://www.hornbach.se/p/tvattstall-differnz-somero-med-underskap-vit-gra-blank-800-mm-36-104-92/10042775/,1,0,1,1,1,1,0,1,0,1,0,0,0,85,0,0,,,,,,
https://www.clasohlson.com/se/Powerbank-20000mAh-USB-C-PD-27-W-Clas-Ohlson/p/39-1289,1,0,1,1,0,0,0,1,0,1,0,0,0,65,0,1,4.5,279,,,,
https://www.kjell.com/no/produkter/mobilt/mobiltelefonladere/usb-ladere/linocell-usb-c-lader-med-pd-20-w-hvit-p89300,1,0,1,1,0,0,0,1,0,1,0,0,0,65,0,0,,,4.5,0,inline_js,
https://www.byggmax.se/skåpdörr-nano-vit-p6706003,1,1,1,1,0,0,0,1,0,1,0,0,0,65,0,0,,,,,,
https://www.bygghemma.se/fritid-och-marint/resetillbehor/ovriga-resetillbehor/powerbank/reseadapter-skross-power-charger-us-usb-c-pd-30w-ojordad-for-usa-och-japan/p-1749569,1,0,1,1,1,0,1,1,0,1,0,0,0,77,0,0,,,,,,
https://www.rusta.com/sv-se/fritid/hemelektronik/mobiltillbehor/adapter-1-port-pd-usb-c-20-w-ad125,1,0,1,1,0,0,0,1,0,1,0,0,0,65,0,1,4.6,40,,,,
https://www.elgiganten.se/product/mobiler-tablets-smartklockor/mobiltillbehor/powerbank/deltaco-powerbank-usb-a-usb-c-pd-20000mah/242482,1,0,1,0,1,1,1,1,0,1,0,0,0,70,0,0,,,,,,
https://www.netonnet.se/art/fyndvaror/mobil-smartwatch/telefoner-tillbehr/mobilladdare/andersson-super-mini-car-charger-30w-pd-usb-c-5a/x1012355.17236/,1,0,1,1,1,1,1,1,0,1,0,0,0,85,0,1,4.6,82,,,,
https://www.biltema.se/en-se/office---technology/mobile-phone-accessories/mobile-chargers/usb-chargers/usb-charging-station-with-6-ports-types-a-c-pd-and-qc-30-59-w-2000046677,0,1,1,1,1,0,1,1,0,1,0,0,0,72,0,0,,,,,,
https://k-bygg.se/produkt/billaddare-ansmann-1xusb-a1xusb-c-sva-30w/4013674176892,1,0,1,1,1,1,0,1,0,1,0,0,0,85,0,0,,,,,,
https://www.hornbach.se/p/usb-powerbank-einhell-te-cp-18-li-usb-utan-batteri-och-laddare/10245959/,1,0,1,1,1,1,0,1,0,1,0,0,0,85,0,0,,,,,,
https://www.clasohlson.com/se/Laddkabel-USB-Plantronics-Poly-HP-Voyager-Legend/p/51-1514,1,0,1,1,0,0,0,1,0,1,0,0,0,65,0,1,3.5,12,,,,
https://www.kjell.com/no/produkter/data/datatilbehor/usb-tilbehor/usb-adaptere/unisynk-usb-c-dokkingstasjon-9-porter-4k-for-to-skjermer-p65888,1,0,1,1,0,0,0,1,0,1,0,0,0,65,0,0,,,3.0,0,inline_js,
https://www.byggmax.se/lanterna-crotone-usb-sol-gnosjo-konstsmide-p68716639,1,1,1,1,0,0,0,1,0,1,0,0,0,65,0,0,,,,,,
https://www.bygghemma.se/inredning-och-belysning/hemelektronik/datortillbehor/usb-c-kabel-logilink-usb-32-gen2-pd-30-100w-10gbps-4k-och-60hz-alu-1-m/p-1915195,1,0,1,1,1,0,1,1,0,1,0,0,0,77,0,0,,,,,,
https://www.mekonomen.se/reservdelar/chassi/styrning/servoslangar,1,0,0,0,0,0,0,1,0,1,0,0,0,30,0,0,,,,,,
https://www.rusta.com/sv-se/hem-och-inredning/gardiner-och-tillbehor/gardinlangder-palett-135x220-cm-ljusbeige-polyester-2-pack,1,0,1,1,0,0,0,1,0,1,0,0,0,65,0,1,4.6,8,,,,
https://www.elgiganten.se/product/datorer-kontor/datortillbehor/dockningsstation-till-laptop/icy-box-ib-dk4040-cpd-usb-c-1-10-dockingsstation-1xhdmi-4k-30hz-1xvga-1920x1080p-60hz-1x-usb-c-dp-100w-3xusb-a-1xsd-1xmsd-1xrj45-lan-1x-ljud-35mm/181831,1,0,1,1,1,1,1,1,0,1,0,0,0,85,0,0,,,,,,
https://www.netonnet.se/art/dator-surfplatta/datortillbehor/dockningstation/andersson-usb-d2000-3-monitors-4k/1035401.9512/,1,0,1,1,1,1,1,1,1,1,0,0,0,85,0,1,4.8,4,,,,
https://www.biltema.se/fritid/husvagn-och-husbil/chassietillbehor/flaggetiketter-finland-2000050994,0,1,1,1,1,0,1,1,0,1,0,0,0,72,0,0,,,,,,
https://k-bygg.se/produkt/usb-laddningssats-dewalt-dcb094k-qw-xr-18v/5054905302313,1,0,1,1,1,1,0,1,0,1,0,0,0,85,0,0,,,,,,
https://www.hornbach.se/p/mosaik-keramik-hexagon-hx580-ljusbla-blank-32-5x28-1-cm/10021293/,1,0,1,1,1,1,0,1,0,1,0,0,0,85,0,0,,,,,,
https://www.clasohlson.com/se/Wilfa-Crispier-Airfryer%2C-luftfritos-3%2C5-liter/p/44-4919,1,0,1,1,0,0,0,1,0,1,0,0,0,65,0,1,3.5,10,,,,
https://www.kjell.com/no/produkter/hjem-fritid/kjokken-og-spisestue/airfryers/rubicson-frityrkoker-2200-w-p47038,1,0,1,1,0,0,0,1,0,1,0,0,0,65,0,0,,,4.5,0,inline_js,
https://www.bygghemma.se/kok-och-bad/hushallsapparater/koksmaskiner/fritos/airfryer/,1,0,0,0,0,0,0,1,0,1,0,0,0,30,0,0,,,,,,
https://www.rusta.com/sv-se/hem-och-inredning/hushallsapparater/tillagning/airfryer-35-liter-svart-afm23,1,0,1,1,0,0,0,1,0,1,0,0,0,65,0,1,4.8,93,,,,
https://www.elgiganten.se/product/hem-hushall-tradgard/koksapparater/airfryer/breville-airfryer-106l-vdf127x/377217,1,0,1,1,1,1,1,1,0,1,0,0,0,85,0,1,4.8,6,,,,
https://www.netonnet.se/art/hem-fritid/koksmaskiner/airfryer/ninja-af300eu-foodi-air-fryer-dual-zone-7-6l/1035892.18426/,1,0,1,1,1,1,1,1,1,1,0,0,0,85,0,1,5,9,,,,
https://www.clasohlson.com/se/Philips-PureProtect-Pro-4200-AC4220-12-luftrenare%2C-156-m2/p/36-318,1,0,1,1,0,0,0,1,0,1,0,0,0,65,0,1,4.5,3,,,,
https://www.kjell.com/no/produkter/hjem-fritid/rengjoring/robotstovsuger/tilbehor-til-robotstovsuger/roborock-hepa-filter-for-robotstovsuger-2-pk.-p51588,1,0,1,1,0,0,0,1,0,1,0,0,0,65,0,0,,,4.5,0,inline_js,
https://www.byggmax.se/hepafilter-våttorrdamsugare-einhell-p6116463,1,1,1,1,0,0,0,1,0,1,0,0,0,65,0,0,,,,,,
https://www.bygghemma.se/kok-och-bad/hushallsapparater/dammsugare/skaftdammsugare/skaftdammsugare-tristar-sz-2360-222v-med-hepa-filter-bla/p-2020041,1,0,1,1,1,0,1,1,0,1,0,0,0,77,0,0,,,,,,
https://www.elgiganten.se/product/hem-hushall-tradgard/inomhusklimat-uppvarmning/luftkvalitet/luftrenare/leitz-trusens-z-2000-luftrenare-2415113eu/217078,1,0,1,1,1,1,1,1,0,1,0,0,0,85,0,1,4.8,9,,,,
https://www.netonnet.se/art/hem-fritid/dammsugare-rengoring/tillbehor-till-dammsugare/on-stick-vacuum-10-hepa-filter/1020008.21518/,1,0,1,1,1,1,1,1,0,1,0,0,0,85,0,1,1,1,,,,
https://www.biltema.se/en-se/home/cleaning/vacuum-cleaners/vacuum-cleaner-filters/vacuum-cleaner-filter-hepa-2000049732,0,1,1,1,1,0,1,1,0,1,0,0,0,72,0,0,,,,,,
https://k-bygg.se/produkt/borrhammare-nakenhepa-18vx2-dhr280zwj/088381857963,1,0,1,1,1,1,0,1,0,1,0,0,0,85,0,0,,,,,,
https://www.clasohlson.com/se/LED-list-arbetsbelysning-20-m-IP67-4000K/p/36-9305-1,1,0,1,1,0,0,0,1,0,1,0,0,0,65,0,1,0.0,0,,,,
https://www.kjell.com/se/produkter/belysning-lampor/arbetsbelysning/cirkulart-lysror-g10q-t9-1050-lm-p22337,1,0,1,1,0,0,0,1,0,1,0,0,0,65,0,0,,,4.5,0,inline_js,
https://www.byggmax.se/stativ-for-arbetsbelysning-teleskopiskt-1-1-2-5m-as250-gelia-p68724168,1,1,1,1,0,0,0,1,0,1,0,0,0,65,0,0,,,,,,
https://www.bygghemma.se/inredning-och-belysning/belysning/arbetsbelysning/industriarmatur/industriarmatur-hide-a-lite-ind-liteline-ip65-1200-840-bt/p-1833496,1,0,1,1,1,0,1,1,0,1,0,0,0,77,0,0,,,,,,
https://www.rusta.com/sv-se/gor-det-sjalv/redskap/arbetsbelysning/spotlight-led-10-w-ip65,1,0,1,1,0,0,0,1,0,1,0,0,0,65,0,1,4.7,7,,,,
https://www.elgiganten.se/product/hem-hushall-tradgard/belysning-elprodukter/lampor-belysning/ficklampa/w550-arbetsbelysning/228380,1,0,1,1,1,1,1,1,0,1,0,0,0,85,0,0,,,,,,
https://www.biltema.se/bil---mc/mc/atv/arbetsbelysning-led-27-w-2000041834,0,1,1,1,1,0,1,1,0,1,0,0,0,72,0,0,,,,,,
https://k-bygg.se/produkt/arbetsbelysning-deadml805-led-18v230v-makita/088381699303,1,0,1,1,1,1,0,1,0,1,0,0,0,85,0,0,,,,,,
https://www.hornbach.se/p/arbetsbelysning-malmbergs-kupolen-ii-led-30w-230v-ip54/10454632/,1,0,1,1,1,1,0,1,0,1,0,0,0,85,0,0,,,,,,
